iter	Passed	Remaining
400	12407	34005
401	12431	33955
402	12455	33905
403	12481	33860
404	12507	33816
405	12534	33774
406	12560	33732
407	12589	33696
408	12616	33655
409	12643	33612
410	12666	33562
411	12692	33519
412	12717	33470
413	12741	33424
414	12764	33373
415	12787	33322
416	12809	33268
417	12833	33219
418	12856	33170
419	12881	33123
420	12905	33075
421	12926	33021
422	12949	32970
423	12973	32923
424	13001	32885
425	13025	32838
426	13047	32787
427	13071	32740
428	13094	32691
429	13119	32645
430	13140	32592
431	13161	32537
432	13183	32487
433	13207	32440
434	13232	32395
435	13255	32347
436	13282	32308
437	13305	32262
438	13327	32210
439	13349	32160
440	13370	32108
441	13394	32061
442	13416	32011
443	13438	31962
444	13459	31910
445	13484	31866
446	13508	31820
447	13531	31775
448	13556	31732
449	13582	31692
450	13608	31652
451	13630	31604
452	13655	31560
453	13678	31514
454	13700	31465
455	13723	31419
456	13746	31373
457	13769	31326
458	13793	31283
459	13815	31235
460	13837	31187
461	13859	31137
462	13883	31094
463	13907	31052
464	13932	31010
465	13960	30977
466	13981	30926
467	14004	30881
468	14028	30838
469	14050	30790
470	14073	30747
471	14103	30717
472	14126	30672
473	14148	30624
474	14170	30577
475	14192	30532
476	14216	30489
477	14239	30445
478	14263	30404
479	14288	30363
480	14312	30322
481	14338	30282
482	14359	30235
483	14381	30188
484	14404	30145
485	14427	30102
486	14448	30054
487	14471	30010
488	14493	29965
489	14515	29919
490	14539	29879
491	14563	29837
492	14587	29796
493	14612	29756
494	14635	29714
495	14657	29668
496	14679	29624
497	14703	29583
498	14726	29542
499	14748	29497
500	14773	29457
501	14795	29414
502	14817	29369
503	14842	29331
504	14864	29287
505	14887	29244
506	14908	29198
507	14931	29157
508	14955	29117
509	14978	29075
510	15001	29033
511	15025	28995
512	15047	28951
513	15070	28910
514	15094	28869
515	15118	28830
516	15140	28787
517	15162	28744
518	15183	28699
519	15207	28659
520	15229	28617
521	15251	28575
522	15275	28535
523	15296	28491
524	15319	28450
525	15340	28406
526	15363	28366
527	15387	28327
528	15411	28288
529	15434	28247
530	15458	28209
531	15480	28166
532	15503	28126
533	15524	28084
534	15546	28042
535	15570	28004
536	15594	27965
537	15617	27924
538	15639	27884
539	15661	27843
540	15682	27799
541	15702	27754
542	15725	27715
543	15748	27675
544	15770	27634
545	15792	27593
546	15816	27555
547	15840	27519
548	15861	27476
549	15883	27435
550	15907	27397
551	15930	27359
552	15951	27317
553	15975	27279
554	15997	27239
555	16021	27201
556	16045	27164
557	16068	27127
558	16095	27095
559	16119	27058
560	16144	27023
561	16170	26988
562	16195	26954
563	16221	26920
564	16248	26888
565	16273	26854
566	16299	26821
567	16326	26790
568	16353	26757
569	16379	26723
570	16403	26687
571	16427	26652
572	16453	26618
573	16476	26581
574	16500	26543
575	16523	26506
576	16545	26467
577	16568	26429
578	16600	26406
579	16622	26366
580	16645	26329
581	16667	26290
582	16689	26250
583	16711	26211
584	16732	26171
585	16756	26135
586	16780	26099
587	16802	26061
588	16826	26025
589	16851	25990
590	16873	25952
591	16895	25914
592	16918	25877
593	16940	25838
594	16962	25800
595	16987	25766
596	17008	25727
597	17031	25689
598	17055	25654
599	17077	25615
600	17100	25579
601	17123	25542
602	17145	25504
603	17167	25467
604	17190	25431
605	17215	25396
606	17238	25361
607	17262	25325
608	17287	25292
609	17310	25256
610	17333	25219
611	17355	25182
612	17380	25149
613	17402	25111
614	17425	25075
615	17453	25046
616	17477	25012
617	17502	24979
618	17527	24946
619	17550	24909
620	17575	24876
621	17599	24842
622	17626	24812
623	17650	24778
624	17673	24742
625	17697	24709
626	17720	24672
